"common_name","scientific_name"
"Swift","Apus apus"
"Great Spotted Woodpecker","Dendrocopos major"
"Green Woodpecker","Picus viridis"
"Jay","Garrulus glandarius"
"Coal Tit","Periparus ater"
"Marsh Tit","Poecile palustris"
"Blue Tit","Cyanistes caeruleus"
"Great Tit","Parus major"
"Swallow","Hirundo rustica"
"House Martin","Delichon urbicum"
"Long-tailed Tit","Aegithalos caudatus"
"Goldcrest","Regulus regulus"
"Wren","Troglodytes troglodytes"
"Nuthatch","Sitta europaea"
"Treecreeper","Certhia familiaris"
"Starling","Sturnus vulgaris"
"Blackbird","Turdus merula"
"Fieldfare","Turdus pilaris"
"Redwing","Turdus iliacus"
"Song Thrush","Turdus philomelos"
"Mistle Thrush","Turdus viscivorus"
"Robin","Erithacus rubecula"
"House Sparrow","Passer domesticus"
"Dunnock","Prunella modularis"
"Chaffinch","Fringilla coelebs"
"Brambling","Fringilla montifringilla"
"Bullfinch","Pyrrhula pyrrhula"
"Greenfinch","Chloris chloris"
"Goldfinch","Carduelis carduelis"
"Siskin","Spinus spinus"
