nbn_guid,scientific_name,family
NHMSYS0000530498,Muscicapa striata,Muscicapidae
NHMSYS0000530464,Luscinia megarhynchos,Muscicapidae
NHMSYS0000530362,Ficedula hypoleuca,Muscicapidae
NHMSYS0000530590,Saxicola rubetra,Muscicapidae
NHMSYS0000530537,Passer domesticus,Passeridae
NHMSYS0000530539,Passer montanus,Passeridae
NHMSYS0000530496,Motacilla flava,Motacillidae
NHMSYS0000530494,Motacilla cinerea,Motacillidae
NHMSYS0000530162,Anthus trivialis,Motacillidae
NHMSYS0000530302,Coccothraustes coccothraustes,Fringillidae
NHMSYS0021004282,Linaria cannabina,Fringillidae
NHMSYS0021004297,Linaria flavirostris,Fringillidae
NHMSYS0021004312,Acanthis cabaret,Fringillidae
NHMSYS0000530727,Emberiza citrinella,Emberizidae
NHMSYS0001688304,Emberiza calandra,Emberizidae
NBNSYS0000000214,Branta leucopsis,Anatidae
NHMSYS0000530474,Mergellus albellus,Anatidae
NBNSYS0000000236,Hydrobates pelagicus,Hydrobatidae
NBNSYS0000000146,Limosa lapponica,Scolopacidae
NBNSYS0000000035,Calidris alpina,Scolopacidae
NHMSYS0021053542,Actitis hypoleucos,Scolopacidae
NHMSYS0021274181,Thalasseus sandvicensis,Laridae
NBNSYS0000000138,Sterna hirundo,Laridae
NBNSYS0000000365,Sterna paradisaea,Laridae
NHMSYS0000530242,Caprimulgus europaeus,Caprimulgidae
NHMSYS0000530348,Egretta garzetta,Ardeidae
NHMSYS0000530386,Grus grus,Gruidae
NBNSYS0000000029,Pluvialis apricaria,Charadriidae
NHMSYS0000532795,Anser albifrons flavirostris,Anatidae
